nm0000206,Keanu,Reeves
nm0000207,Christina,Ricci
nm0000209,Tim,Robbins
nm0000210,Julia,Roberts
nm0000211,Mimi,Rogers
nm0000212,Meg,Ryan
nm0000213,Winona,Ryder
nm0000215,Susan,Sarandon
nm0000216,Arnold,Schwarzenegger
nm0000217,Martin,Scorsese
nm0000219,Steven,Seagal
nm0000220,Joan,Severance
nm0000221,Charlie,Sheen
nm0000222,Brooke,Shields
nm0000223,Elisabeth,Shue
nm0000224,Alicia,Silverstone
nm0000225,Christian,Slater
nm0000226,Will,Smith
nm0000227,Mira,Sorvino
nm0000228,Kevin,Spacey
nm0000229,Steven,Spielberg
nm0000230,Sylvester,Stallone
nm0000231,Oliver,Stone
nm0000232,Sharon,Stone
nm0000233,Quentin,Tarantino
nm0000234,Charlize,Theron
nm0000237,John,Travolta
nm0000238,Shannon,Tweed
nm0000239,Liv,Tyler
nm0000240,Skeet,Ulrich
nm0000241,Jean-Claude,Van
nm0000242,Mark,Wahlberg
nm0000243,Denzel,Washington
nm0000244,Sigourney,Weaver
nm0000246,Bruce,Willis
nm0000247,John,Woo
nm0000249,James,Woods
nm0000250,RenĂ©e,Zellweger
nm0000254,Isabelle,Adjani
nm0000255,Ben,Affleck
nm0000260,Joan,Allen
nm0000263,Kirstie,Alley
nm0000265,Robert,Altman
nm0000267,Julie,Andrews
nm0000269,Jean-Jacques,Annaud
nm0000270,Gabrielle,Anwar
nm0000271,Anne,Archer
nm0000274,David,Arquette
nm0000275,Rosanna,Arquette
nm0000276,Sean,Astin
nm0000277,Richard,Attenborough
nm0000279,Hank,Azaria
nm0000281,Scott,Baio
nm0000285,Alec,Baldwin
nm0000286,Stephen,Baldwin
nm0000287,William,Baldwin
nm0000288,Christian,Bale
nm0000289,Ellen,Barkin
nm0000291,Angela,Bassett
nm0000293,Sean,Bean
nm0000294,Amanda,Bearse
nm0000297,Tom,Berenger
nm0000298,Candice,Bergen
nm0000299,Michael,Biehn
nm0000301,Thora,Birch
nm0000302,Jacqueline,Bisset
nm0000304,Linda,Blair
nm0000307,Helena,Bonham
nm0000308,Ernest,Borgnine
nm0000310,Bruce,Boxleitner
nm0000312,Amy,Brenneman
nm0000313,Jeff,Bridges
nm0000317,Clancy,Brown
nm0000318,Tim,Burton
nm0000321,Gabriel,Byrne
nm0000323,Michael,Caine
nm0000325,David,Caruso
nm0000326,Kim,Cattrall
nm0000327,Lacey,Chabert
nm0000328,Richard,Chamberlain
nm0000329,Jackie,Chan
nm0000332,Don,Cheadle
nm0000335,Glenn,Close
nm0000336,James,Coburn
nm0000337,Rachael,Leigh
nm0000338,Francis,Ford
nm0000339,Roger,Corman
nm0000340,Cindy,Crawford
nm0000341,Michael,Crichton
nm0000342,James,Cromwell
nm0000344,Denise,Crosby
nm0000345,Billy,Crystal
nm0000346,Macaulay,Culkin
nm0000347,Tim,Curry
nm0000348,Tony,Curtis
nm0000350,Beverly,D'Angelo
nm0000351,Donna,D'Errico
nm0000352,Vincent,D'Onofrio
nm0000353,Willem,Dafoe
nm0000354,Matt,Damon
nm0000355,Anthony,Daniels
nm0000356,Sybil,Danning
nm0000360,Rebecca,De
nm0000361,Brian,De
nm0000362,Danny,DeVito
nm0000366,Catherine,Deneuve
nm0000367,GĂ©rard,Depardieu
nm0000368,Laura,Dern
nm0000370,Walt,Disney
nm0000371,Ami,Dolenz
nm0000372,Amanda,Donohoe
nm0000375,Robert,Downey
nm0000376,Fran,Drescher
nm0000377,Richard,Dreyfuss
nm0000378,Minnie,Driver
nm0000379,Kirsten,Dunst
nm0000380,Robert,Duvall
nm0000381,Anthony,Edwards
nm0000382,Atom,Egoyan
nm0000385,Sam,Elliott
nm0000386,Roland,Emmerich
nm0000388,R.,Lee
nm0000390,Joe,Eszterhas
nm0000391,Rupert,Everett
nm0000392,Morgan,Fairchild
nm0000393,Peter,Falk
nm0000396,Farrah,Fawcett
nm0000397,Corey,Feldman
nm0000398,Sally,Field
nm0000399,David,Fincher
nm0000401,Laurence,Fishburne
nm0000404,Jane,Fonda
nm0000406,John,Ford
nm0000407,Vivica,A.
nm0000408,Jonathan,Frakes
nm0000409,Brendan,Fraser
nm0000410,Stephen,Fry
nm0000411,Edward,Furlong
nm0000412,Andy,Garcia
nm0000413,Janeane,Garofalo
nm0000415,Jami,Gertz
nm0000417,Crispin,Glover
nm0000418,Danny,Glover
nm0000420,Valeria,Golino
nm0000421,Cuba,Gooding
nm0000422,John,Goodman
nm0000428,D.W.,Griffith
nm0000429,Melanie,Griffith
nm0000430,Steve,Guttenberg
nm0000431,Taylor,Hackford
nm0000432,Gene,Hackman
nm0000433,Corey,Haim
nm0000434,Mark,Hamill
nm0000435,Daryl,Hannah
nm0000436,Curtis,Hanson
nm0000437,Woody,Harrelson
nm0000438,Ed,Harris
nm0000439,Neil,Patrick
nm0000440,Nina,Hartley
nm0000442,Rutger,Hauer
nm0000443,Goldie,Hawn
nm0000446,Mariel,Hemingway
nm0000447,Marilu,Henner
nm0000449,Natasha,Henstridge
nm0000450,Philip,Seymour
nm0000452,Lauren,Holly
nm0000455,John,Hughes
nm0000456,Holly,Hunter
nm0000458,William,Hurt
nm0000459,Timothy,Hutton
nm0000460,Jeremy,Irons
nm0000461,Michael,Ironside
nm0000462,Kate,Jackson
nm0000466,Jean-Pierre,Jeunet
nm0000467,Don,Johnson
nm0000473,Diane,Keaton
nm0000474,Michael,Keaton
nm0000476,Sally,Kirkland
nm0000478,Tawny,Kitaen
nm0000479,Walter,Koenig
nm0000480,Elias,Koteas
nm0000481,Alice,Krige
nm0000483,Christopher,Lambert
nm0000484,John,Landis
nm0000485,Fritz,Lang
nm0000487,Ang,Lee
nm0000489,Christopher,Lee
nm0000490,Spike,Lee
nm0000491,John,Leguizamo
nm0000492,Jennifer,Jason
nm0000493,Jack,Lemmon
nm0000495,TĂ©a,Leoni
nm0000497,Jennifer,Lien
nm0000498,Matthew,Lillard
nm0000499,Bai,Ling
nm0000500,Richard,Linklater
nm0000501,Ray,Liotta
nm0000506,Julia,Louis-Dreyfus
nm0000507,Rob,Lowe
nm0000510,Andie,MacDowell
nm0000512,Elle,Macpherson
nm0000514,Michael,Madsen
nm0000515,Virginia,Madsen
nm0000516,Lee,Majors
nm0000517,Terrence,Malick
nm0000518,John,Malkovich
nm0000519,David,Mamet
nm0000520,Michael,Mann
nm0000523,Julianna,Margulies
nm0000524,Mary,Stuart
nm0000525,Heather,Matarazzo
nm0000529,Debi,Mazar
nm0000530,Andrew,McCarthy
nm0000531,Frances,McDormand
nm0000532,Malcolm,McDowell
nm0000534,Kelly,McGillis
nm0000535,Rose,McGowan
nm0000536,Robert,Duncan
nm0000537,Steve,McQueen
nm0000538,Colm,Meaney
nm0000539,Dina,Meyer
nm0000540,Russ,Meyer
nm0000541,Bette,Midler
nm0000545,Helen,Mirren
nm0000546,Matthew,Modine
nm0000547,Alfred,Molina
nm0000549,Roger,Moore
nm0000552,Eddie,Murphy
nm0000553,Liam,Neeson
nm0000554,Sam,Neill
nm0000555,Judd,Nelson
nm0000557,Brigitte,Nielsen
nm0000558,Leslie,Nielsen
nm0000559,Leonard,Nimoy
nm0000560,Nick,Nolte
nm0000561,Peter,North
nm0000563,Chris,O'Donnell
nm0000564,Peter,O'Toole
nm0000566,Julia,Ormond
nm0000569,Gwyneth,Paltrow
nm0000572,Sarah,Jessica
nm0000574,Jason,Patric
nm0000575,Alexandra,Paul
nm0000576,Sean,Penn
nm0000579,Ron,Perlman
nm0000580,Luke,Perry
nm0000581,Joseph,L.
nm0000583,Wolfgang,Petersen
nm0000586,Jada,Pinkett
nm0000589,Eve,Plumb
nm0000592,Pete,Postlethwaite
nm0000594,Jason,Priestley
nm0000595,Victoria,Principal
nm0000598,Dennis,Quaid
nm0000599,Kathleen,Quinlan
nm0000600,Sam,Raimi
nm0000601,Harold,Ramis
nm0000602,Robert,Redford
nm0000603,Vanessa,Redgrave
nm0000604,John,C.
nm0000608,Burt,Reynolds
nm0000609,Ving,Rhames
nm0000612,Denise,Richards
nm0000613,Joely,Richardson
nm0000615,John,Ritter
nm0000616,Eric,Roberts
nm0000617,Tanya,Roberts
nm0000619,Tim,Roth
nm0000621,Kurt,Russell
nm0000623,Rene,Russo
nm0000625,Fred,Savage
nm0000628,Johnathon,Schaech
nm0000629,Claudia,Schiffer
nm0000630,Liev,Schreiber
nm0000631,Ridley,Scott
nm0000632,Jerry,Seinfeld
nm0000633,Tom,Selleck
nm0000638,William,Shatner
nm0000639,Ally,Sheedy
nm0000640,Martin,Sheen
nm0000641,Gary,Sinise
nm0000642,Marina,Sirtis
nm0000643,Tom,Skerritt
nm0000645,Anna,Nicole
nm0000646,Jaclyn,Smith
nm0000648,Wesley,Snipes
nm0000652,James,Spader
nm0000655,Eric,Stoltz
nm0000657,David,Strathairn
nm0000658,Meryl,Streep
nm0000659,Barbra,Streisand
nm0000661,Donald,Sutherland
nm0000662,Kiefer,Sutherland
nm0000663,Dominique,Swain
nm0000664,Patrick,Swayze
nm0000670,Lea,Thompson
nm0000673,Marisa,Tomei
nm0000678,Kathleen,Turner
nm0000679,Deborah,Kara
nm0000680,Casper,Van
nm0000681,Vince,Vaughn
nm0000682,Paul,Verhoeven
nm0000685,Jon,Voight
nm0000688,Sela,Ward
nm0000689,Julie,Warner
nm0000690,Lesley,Ann
nm0000694,Wim,Wenders
nm0000696,Wil,Wheaton
nm0000697,Billy,Wilder
nm0000700,Debra,Winger
nm0000702,Reese,Witherspoon
nm0000704,Elijah,Wood
nm0000705,Robin,Wright
nm0000706,Michelle,Yeoh
nm0000708,Billy,Zane
nm0000709,Robert,Zemeckis
nm0000712,Steve,Cohen
nm0000715,Caroline,Aaron
nm0000717,Kareem,Abdul-Jabbar
nm0000720,Jim,Abrahams
nm0000724,Brooke,Adams
nm0000727,Percy,Adlon
nm0000729,Casey,Affleck
nm0000732,Danny,Aiello
nm0000734,Eddie,Albert
nm0000736,Robert,Aldrich
nm0000737,Jane,Alexander
nm0000739,Debbie,Allen
nm0000740,Irwin,Allen
nm0000741,Tim,Allen
nm0000744,Maria,Conchita
nm0000745,Carol,Alt
nm0000749,MĂ¤dchen,Amick
nm0000750,Jon,Amiel
nm0000751,Suzy,Amis
nm0000753,Juliet,Anderson
nm0000757,Melissa,Sue
nm0000759,Paul,Thomas
nm0000760,Richard,Dean
nm0000762,Anthony,Andrews
nm0000766,Theodoros,Angelopoulos
nm0000770,David,Anspaugh
nm0000771,Lysette,Anthony
nm0000772,Susan,Anton
nm0000775,Christina,Applegate
nm0000776,Michael,Apted
nm0000777,Gregg,Araki
nm0000783,Dario,Argento
nm0000784,Pedro,ArmendĂˇriz
nm0000786,George,Armitage
nm0000788,Gillian,Armstrong
nm0000789,Desi,Arnaz
nm0000790,James,Arness
nm0000791,Jack,Arnold
nm0000792,Tom,Arnold
nm0000793,Alexis,Arquette
nm0000794,Lewis,Arquette
nm0000799,Edward,Asner
nm0000800,Armand,Assante
nm0000803,Christopher,Atkins
nm0000810,Gene,Autry
nm0000811,Frankie,Avalon
nm0000812,Roger,Avary
nm0000814,John,G.
nm0000816,Jon,Avnet
nm0000821,Amitabh,Bachchan
nm0000824,John,Badham
nm0000826,Jane,Badler
nm0000832,Diane,Baker
nm0000834,Kathy,Baker
nm0000836,Scott,Bakula
nm0000837,Bob,Balaban
nm0000838,Daniel,Baldwin
nm0000839,Ina,Balin
nm0000848,Olivia,Barash
nm0000849,Javier,Bardem
nm0000850,Clive,Barker
nm0000852,Jean-Marc,Barr
nm0000853,Bruno,Barreto
nm0000854,Majel,Barrett
nm0000861,Freddie,Bartholomew
nm0000864,Mikhail,Baryshnikov
nm0000867,Jason,Bateman
nm0000868,Justine,Bateman
nm0000869,Alan,Bates
nm0000871,Randall,Batinkoff
nm0000872,Patrick,Bauchau
nm0000874,Steven,Bauer
nm0000875,L.,Frank
nm0000876,Noah,Baumbach
nm0000877,Lamberto,Bava
nm0000879,Anne,Baxter
nm0000880,Meredith,Baxter
nm0000881,Michael,Bay
nm0000884,Jennifer,Beals
nm0000886,Warren,Beatty
nm0000887,Harold,Becker
nm0000892,Jason,Beghe
nm0000893,Ed,Begley
nm0000894,Jean-Jacques,Beineix
nm0000896,Harry,Belafonte
nm0000901,Jean-Paul,Belmondo
nm0000902,Jim,Belushi
nm0000903,Brian,Benben
nm0000907,Richard,Benjamin
nm0000909,Constance,Bennett
nm0000912,Jack,Benny
nm0000914,Robert,Benton
nm0000915,Bruce,Beresford
nm0000916,Peter,Berg
nm0000919,Senta,Berger
nm0000920,Patrick,Bergin
nm0000921,Andrew,Bergman
nm0000926,Milton,Berle
nm0000929,Corbin,Bernsen
nm0000932,Halle,Berry
nm0000933,Valerie,Bertinelli
nm0000934,Bernardo,Bertolucci
nm0000940,Bigas,Luna
nm0000941,Kathryn,Bigelow
nm0000944,Antonia,Bird
nm0000949,Cate,Blanchett
nm0000957,Jan,de
nm0000958,John,Boorman
nm0000960,Barry,Bostwick
nm0000961,Timothy,Bottoms
nm0000964,Charles,Boyer
nm0000965,Danny,Boyle
nm0000966,Lorraine,Bracco
nm0000967,Eric,Braeden
nm0000968,SĂ´nia,Braga
nm0000969,Lillo,Brancato
nm0000971,Nicoletta,Braschi
nm0000973,Benjamin,Bratt
nm0000976,Martin,Brest
nm0000977,Beau,Bridges
nm0000981,James,Brolin
nm0000982,Josh,Brolin
nm0000985,James,L.
nm0000986,Bryan,Brown
nm0000987,Jim,Brown
nm0000988,Jerry,Bruckheimer
nm0000989,Yul,Brynner
nm0000993,Carol,Burnett
nm0000995,Ellen,Burstyn
nm0000996,LeVar,Burton
nm0000998,Jake,Busey
nm0001000,Tom,Byron
nm0001002,Dean,Cain
nm0001004,Billy,Campbell
nm0001005,Jane,Campion
nm0001008,Frank,Capra
nm0001009,Kate,Capshaw
nm0001013,Harry,Carey
nm0001016,David,Carradine
nm0001019,Robert,Carradine
nm0001026,Joanna,Cassidy
nm0001027,Shaun,Cassidy
nm0001028,Maxwell,Caulfield
nm0001040,Joan,Chen
nm0001047,Michael,Cimino
nm0001048,Andrew,Dice
nm0001053,Ethan,Coen
nm0001054,Joel,Coen
nm0001057,Toni,Collette
nm0001058,Joan,Collins
nm0001060,Chris,Columbus
nm0001061,Holly,Marie
nm0001063,Jeff,Conaway
nm0001064,Jason,Connery
nm0001071,Annie,Costner
nm0001073,Courteney,Cox
nm0001078,Bing,Crosby
nm0001081,Cameron,Crowe
nm0001084,Ice,Cube
nm0001086,Alan,Cumming
nm0001101,Ted,Danson
nm0001102,Joe,Dante
nm0001103,Tony,Danza
nm0001104,Frank,Darabont
nm0001108,Robert,Davi
nm0001116,Warwick,Davis
nm0001117,Bruce,Davison
nm0001118,Pam,Dawber
nm0001122,Ellen,DeGeneres
nm0001124,Cecil,B.
nm0001125,Benicio,Del
nm0001126,Kim,Delaney
nm0001127,Dana,Delany
nm0001128,Alain,Delon
nm0001129,Jonathan,Demme
nm0001130,Ted,Demme
nm0001131,Patrick,Dempsey
nm0001133,Brian,Dennehy
nm0001136,Bruce,Dern
nm0001138,Susan,Dey
nm0001142,Uschi,Digard
nm0001147,Shannen,Doherty
nm0001149,Richard,Donner
nm0001151,Stephen,Dorff
nm0001152,Illeana,Douglas
nm0001154,Michael,Dudikoff
nm0001155,Patrick,Duffy
nm0001156,Olympia,Dukakis
nm0001157,Patty,Duke
nm0001159,Faye,Dunaway
nm0001162,Griffin,Dunne
nm0001163,Roy,Dupuis
nm0001165,Charles,S.
nm0001166,James,Duval
nm0001167,Shelley,Duvall
nm0001170,Roger,Ebert
nm0001171,Buddy,Ebsen
nm0001173,Aaron,Eckhart
nm0001174,Barbara,Eden
nm0001175,Blake,Edwards
nm0001183,Bodhi,Elfman
nm0001184,Jenna,Elfman
nm0001188,Nora,Ephron
nm0001191,Adam,Sandler
nm0001193,Shelley,Fabares
nm0001194,Jeff,Fahey
nm0001195,Douglas,Fairbanks
nm0001196,Douglas,Fairbanks
nm0001197,Anna,Falchi
nm0001198,Debrah,Farentino
nm0001199,Dennis,Farina
nm0001209,William,Fichtner
nm0001212,Joseph,Fiennes
nm0001215,Albert,Finney
nm0001216,Tara,Fitzgerald
nm0001217,Fionnula,Flanagan
nm0001218,Sean,Patrick
nm0001219,Gary,Fleder
nm0001222,Calista,Flockhart
nm0001223,Lara,Flynn
nm0001224,Errol,Flynn
nm0001229,Glenn,Ford
nm0001231,Claire,Forlani
nm0001233,Robert,Forster
nm0001234,John,Forsythe
nm0001235,William,Forsythe
nm0001239,John,Frankenheimer
nm0001240,Dennis,Franz
nm0001241,Stephen,Frears
nm0001243,William,Friedkin
nm0001244,Sadie,Frost
nm0001246,Dan,Futterman
nm0001249,Monique,Gabrielle
nm0001254,James,Gandolfini
nm0001258,James,Garner
nm0001259,Jennie,Garth
nm0001264,Sarah,Michelle
nm0001265,Susan,George
nm0001266,Gil,Gerard
nm0001267,Balthazar,Getty
nm0001270,Brian,Gibson
nm0001271,Melissa,Gilbert
nm0001274,Paul,Michael
nm0001277,Scott,Glenn
nm0001279,William,Goldman
nm0001283,Louis,Gossett
nm0001285,Elliott,Gould
nm0001286,Elizabeth,Gracen
nm0001287,Heather,Graham
nm0001288,Kelsey,Grammer
nm0001294,Graham,Greene
nm0001296,Lorne,Greene
nm0001298,Richard,Grieco
nm0001299,Thomas,Ian
nm0001300,John,Grisham
nm0001303,Carla,Gugino
nm0001306,Larry,Hagman
nm0001307,Stacy,Haiduk
nm0001309,Anthony,Michael
nm0001313,George,Hamilton
nm0001314,John,Hannah
nm0001317,Renny,Harlin
nm0001319,Mark,Harmon
nm0001321,Richard,Harris
nm0001322,Rex,Harrison
nm0001325,Hal,Hartley
nm0001326,Josh,Hartnett
nm0001327,David,Hasselhoff
nm0001328,Howard,Hawks
nm0001329,Nigel,Hawthorne
nm0001331,Todd,Haynes
nm0001332,Robert,Hays
nm0001334,John,Heard
nm0001335,Tippi,Hedren
nm0001337,Katherine,Heigl
nm0001338,Brian,Helgeland
nm0001341,Florence,Henderson
nm0001345,Jim,Henson
nm0001349,Jennifer,Love
nm0001353,Walter,Hill
nm0001355,Michael,Hoffman
nm0001356,Hulk,Hogan
nm0001357,Paul,Hogan
nm0001361,Tobe,Hooper
nm0001362,Bob,Hope
nm0001365,Whitney,Houston
nm0001366,Leslie,Howard
nm0001367,C.,Thomas
nm0001368,Ernie,Hudson
nm0001369,Rock,Hudson
nm0001370,Finola,Hughes
nm0001371,Tom,Hulce
nm0001372,Bonnie,Hunt
nm0001374,Jeffrey,Hunter
nm0001378,Anjelica,Huston
nm0001381,Lauren,Hutton
nm0001384,Ice-T,
nm0001388,Amy,Irving
nm0001392,Peter,Jackson
nm0001394,Derek,Jacobi
nm0001396,Mick,Jagger
nm0001397,Brion,James
nm0001398,Jenna,Jameson
nm0001399,Marianne,Jean-Baptiste
nm0001401,Angelina,Jolie
nm0001402,Terry,Jones
nm0001403,Neil,Jordan
nm0001407,Mitzi,Kapture
nm0001408,Shekhar,Kapur
nm0001410,Lawrence,Kasdan
nm0001415,Elia,Kazan
nm0001416,Catherine,Keener
nm0001422,Persis,Khambatta
nm0001423,Richard,Kiel
nm0001426,Ben,Kingsley
nm0001427,Greg,Kinnear
nm0001435,Lisa,Kudrow
nm0001438,Neil,LaBute
nm0001439,Anthony,LaPaglia
nm0001442,Ricki,Lake
nm0001443,Hedy,Lamarr
nm0001444,Lorenzo,Lamas
nm0001445,Martin,Landau
nm0001446,Michael,Landon
nm0001447,Nathan,Lane
nm0001448,Jessica,Lange
nm0001450,Angela,Lansbury
nm0001451,Queen,Latifah
nm0001454,Martin,Lawrence
nm0001455,Matt,LeBlanc
nm0001459,Denis,Leary
nm0001460,Mimi,Leder
nm0001461,Virginie,Ledoyen
nm0001464,Kay,Lenz
nm0001465,Elmore,Leonard
nm0001467,Jared,Leto
nm0001468,David,Letterman
nm0001469,Barry,Levinson
nm0001472,Jet,Li
nm0001473,Laura,Linney
nm0001474,Tommy,'Tiny'
nm0001475,John,Lithgow
nm0001480,Shelley,Long
nm0001486,Sidney,Lumet
nm0001490,Adrian,Lyne
nm0001494,Ralph,Macchio
nm0001496,Amy,Madigan
nm0001497,Tobey,Maguire
nm0001498,John,Mahoney
nm0001501,Louis,Malle
nm0001502,Luis,Mandoki
nm0001505,Joe,Mantegna
nm0001508,Penny,Marshall
nm0001509,Dean,Martin
nm0001513,Tim,Matheson
nm0001514,Victor,Mature
nm0001516,Rue,McClanahan
nm0001520,Christopher,McDonald
nm0001522,Roddy,McDowall
nm0001525,John,C.
nm0001526,Patrick,McGoohan
nm0001527,Elizabeth,McGovern
nm0001528,Don,McKellar
nm0001529,Nancy,McKeon
nm0001530,William,McNamara
nm0001531,Kristy,McNichol
nm0001532,John,McTiernan
nm0001533,Meat,Loaf
nm0001535,Dale,Midkiff
nm0001536,ToshirĂ´,Mifune
nm0001540,Rachel,Miner
nm0001542,Jay,Mohr
nm0001546,Mary,Tyler
nm0001548,Rick,Moranis
nm0001554,Errol,Morris
nm0001556,David,Morse
nm0001557,Viggo,Mortensen
nm0001558,Mr.,T
nm0001559,Audie,Murphy
nm0001562,Kathy,Najimy
nm0001565,Mike,Newell
nm0001566,Mike,Nichols
nm0001569,Chuck,Norris
nm0001570,Edward,Norton
nm0001573,Catherine,O'Hara
nm0001575,Tatum,O'Neal
nm0001579,Edward,James
nm0001580,Ashley,Olsen
nm0001581,Mary-Kate,Olsen
nm0001582,Susan,Olsen
nm0001587,Alan,J.
nm0001590,Chazz,Palminteri
nm0001591,Bruce,Paltrow
nm0001592,Joe,Pantoliano
nm0001593,Anna,Paquin
nm0001595,Michael,ParĂ©
nm0001597,Mandy,Patinkin
nm0001598,Robert,Patrick
nm0001600,Adrian,Paul
nm0001601,David,Paymer
nm0001603,Sam,Peckinpah
nm0001604,Nia,Peeples
nm0001606,Chris,Penn
nm0001607,Sydney,Penny
nm0001608,Barry,Pepper
nm0001612,Matthew,Perry
nm0001614,Lori,Petty
nm0001616,Mekhi,Phifer
nm0001618,Joaquin,Phoenix
nm0001624,Oliver,Platt
nm0001626,Christopher,Plummer
nm0001628,Sydney,Pollack
nm0001629,Kevin,Pollak
nm0001630,Tracy,Pollan
nm0001631,Sarah,Polley
nm0001633,Annie,Potts
nm0001636,Priscilla,Presley
nm0001638,JĂĽrgen,Prochnow
nm0001639,Alex,Proyas
nm0001640,Richard,Pryor
nm0001642,Randy,Quaid
nm0001643,Linnea,Quigley
nm0001644,Aidan,Quinn
nm0001645,Serge,Ladouceur
nm0001650,Michael,Rapaport
nm0001659,Christopher,Reeve
nm0001661,Rob,Reiner
nm0001662,Judge,Reinhold
nm0001663,Paul,Reiser
nm0001667,Jonathan,Rhys
nm0001668,Kim,Richards
nm0001670,Natasha,Richardson
nm0001672,Joan,Rivers
nm0001674,Chris,Rock
nm0001675,Robert,Rodriguez
nm0001678,Roy,Rogers
nm0001681,George,A.
nm0001682,Mickey,Rooney
nm0001683,Roseanne,Barr
nm0001686,Cynthia,Rothrock
nm0001690,Jennifer,Runyon
nm0001691,Geoffrey,Rush
nm0001693,Eva,Marie
nm0001697,Chris,Sarandon
nm0001698,John,Savage
nm0001700,Nancy,Savoca
nm0001702,Roy,Scheider
nm0001705,Rob,Schneider
nm0001708,Joel,Schumacher
nm0001709,Til,Schweiger
nm0001711,Annabella,Sciorra
nm0001712,Tracy,Scoggins
nm0001714,Campbell,Scott
nm0001715,George,C.
nm0001716,Tony,Scott
nm0001718,Kyra,Sedgwick
nm0001719,George,Segal
nm0001723,Tom,Shadyac
nm0001724,Tony,Shalhoub
nm0001726,Helen,Shaver
nm0001728,Wallace,Shawn
nm0001729,Craig,Sheffer
nm0001732,Cybill,Shepherd
nm0001733,Nicollette,Sheridan
nm0001735,Talia,Shire
nm0001736,Pauly,Shore
nm0001737,Martin,Short
nm0001738,Jonathan,Silverman
nm0001740,O.J.,Simpson
nm0001741,Bryan,Singer
nm0001742,Lori,Singer
nm0001744,Tom,Sizemore
nm0001745,Stellan,SkarsgĂĄrd
nm0001751,Jimmy,Smits
nm0001752,Steven,Soderbergh
nm0001753,P.J.,Soles
nm0001755,Suzanne,Somers
nm0001756,Barry,Sonnenfeld
